movieId,tmdbId,title_links
377,1637,Speed
379,8831,Timecop
380,36955,True Lies
382,10395,Wolf
383,12160,Wyatt Earp
387,26352,A Low Down Dirty Shame
393,11667,Street Fighter
405,8011,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)
412,10436,The Age of Innocence
420,306,Beverly Hills Cop III
434,9350,Cliffhanger
441,9571,Dazed and Confused
454,37233,The Firm
457,5503,The Fugitive
471,11934,The Hudsucker Proxy
476,59930,The Inkwell
477,15765,What's Love Got to Do with It?
480,329,Jurassic Park
482,507,Killing Zoe
485,9593,Last Action Hero
493,9516,Menace II Society
494,2320,Executive Decision
497,11971,Much Ado About Nothing
500,788,Mrs. Doubtfire
508,9800,Philadelphia
509,713,The Piano
510,8291,Poetic Justice
515,1245,The Remains of the Day
516,11858,Renaissance Man
519,5550,RoboCop 3
521,2088,Romeo Is Bleeding
523,47889,Ruby in Paradise
527,424,Schindler's List
532,11592,Serial Mom
533,8850,The Shadow
534,10445,Shadowlands
541,78,Blade Runner
546,9607,Super Mario Bros.
553,11969,Tombstone
555,319,True Romance
562,11446,Welcome to the Dollhouse
586,771,Home Alone
587,251,Ghost
588,812,Aladdin
589,280,Terminator 2: Judgment Day
590,581,Dances with Wolves
592,268,Batman
593,274,The Silence of the Lambs
594,408,Snow White and the Seven Dwarfs
596,10895,Pinocchio
597,114,Pretty Woman
599,576,The Wild Bunch
610,11827,Heavy Metal
612,23570,The Pallbearer
626,28121,A Thin Line Between Love and Hate
637,9099,Sgt. Bilko
639,61752,Girl 6
647,10684,Courage Under Fire
648,954,Mission: Impossible
653,8840,Dragonheart
673,2300,Space Jam
674,8069,Barbarella
691,40001,Mrs. Winterbourne
711,36355,Flipper
715,11876,"The Horseman on the Roof (Hussard sur le toit, Le)"
718,11687,"The Visitors (Visiteurs, Les)"
719,9304,Multiplicity
724,9100,The Craft
733,9802,The Rock
736,664,Twister
742,10280,Thinner
743,10535,Spy Hard
750,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
761,9826,The Phantom
762,9879,Striptease
778,627,Trainspotting
780,602,Independence Day (a.k.a. ID4)
782,9566,The Fan
783,10545,The Hunchback of Notre Dame
784,9894,The Cable Guy
785,11543,Kingpin
786,9268,Eraser
788,9327,The Nutty Professor
798,11228,Daylight
800,26748,Lone Star
801,38223,Harriet the Spy
802,9294,Phenomenon
803,49963,Walking and Talking
804,11363,She's the One
805,1645,A Time to Kill
809,18550,Fled
828,18975,The Adventures of Pinocchio
830,2925,The First Wives Club
832,3595,Ransom
836,12123,Chain Reaction
849,10061,Escape from L.A.
851,549,Basquiat
852,10478,Tin Cup
858,238,The Godfather
866,9303,Bound
869,22479,Kansas City
879,11015,The Relic
880,9306,The Island of Dr. Moreau
885,3587,Bogus
891,10987,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers)
899,872,Singin' in the Rain
905,3078,It Happened One Night
909,284,The Apartment
910,239,Some Like It Hot
912,289,Casablanca
914,11113,My Fair Lady
919,630,The Wizard of Oz
920,770,Gone with the Wind
924,62,2001: A Space Odyssey
928,223,Rebecca
931,4174,Spellbound
945,3080,Top Hat
953,1585,It's a Wonderful Life
954,3083,Mr. Smith Goes to Washington
968,10331,Night of the Living Dead
971,261,Cat on a Hot Tin Roof
976,22649,A Farewell to Arms
990,10861,Maximum Risk
991,1770,Michael Collins
998,9400,Set It Off
1003,11306,Extreme Measures
1004,9625,The Glimmer Man
1019,173,"20,000 Leagues Under the Sea"
1020,864,Cool Runnings
1027,8367,Robin Hood: Prince of Thieves
1028,433,Mary Poppins
1034,11229,Freeway
1035,15121,The Sound of Music
1036,562,Die Hard
1037,10163,The Lawnmower Man
1042,9591,That Thing You Do!
1047,11412,The Long Kiss Goodnight
1049,10586,The Ghost and the Darkness
1051,27845,Trees Lounge
1054,49471,Get on the Bus
1055,38153,Shadow Conspiracy
1057,9716,Everyone Says I Love You
1059,454,William Shakespeare's Romeo + Juliet
1060,10218,Swingers
1061,819,Sleepers
1073,252,Willy Wonka & the Chocolate Factory
1077,11561,Sleeper
1078,11302,Bananas
1089,500,Reservoir Dogs
1090,792,Platoon
1093,10537,The Doors
1094,11386,The Crying Game
1095,9504,Glengarry Glen Ross
1097,601,E.T. the Extra-Terrestrial
1100,2119,Days of Thunder
1101,744,Top Gun
1104,702,A Streetcar Named Desire
1114,21612,The Funeral
1125,11843,The Return of the Pink Panther
1127,2756,The Abyss
1128,790,The Fog
1129,1103,Escape from New York
1130,11298,The Howling
1135,10765,Private Benjamin
1136,762,Monty Python and the Holy Grail
1183,409,The English Patient
1186,1412,"Sex, Lies, and Videotape"
1193,510,One Flew Over the Cuckoo's Nest
1196,1891,Star Wars: Episode V - The Empire Strikes Back
1197,2493,The Princess Bride
1198,85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)
1199,68,Brazil
1200,679,Aliens
1201,429,"The Good, the Bad and the Ugly (Buono, il brutto, il cattivo, Il)"
1203,389,12 Angry Men
1204,947,Lawrence of Arabia
1207,595,To Kill a Mockingbird
1208,28,Apocalypse Now
1209,335,Once Upon a Time in the West (C'era una volta il West)
1210,1892,Star Wars: Episode VI - Return of the Jedi
1213,769,Goodfellas
1214,348,Alien
1215,766,Army of Darkness
1219,539,Psycho
1220,525,The Blues Brothers
1221,240,The Godfather: Part II
1224,10705,Henry V
1225,279,Amadeus
1227,311,Once Upon a Time in America
1228,1578,Raging Bull
1230,703,Annie Hall
1231,9549,The Right Stuff
1233,387,"Boot, Das (Boat, The)"
1234,9277,The Sting
1240,218,The Terminator
1242,9665,Glory
1246,207,Dead Poets Society
1250,826,The Bridge on the River Kwai
1258,694,The Shining
1259,235,Stand by Me
1261,765,Evil Dead II (Dead by Dawn)
1262,5925,The Great Escape
1263,11778,The Deer Hunter
1265,137,Groundhog Day
1266,33,Unforgiven
1270,105,Back to the Future
1272,11202,Patton
1274,149,Akira
1275,8009,Highlander
1278,3034,Young Frankenstein
1282,756,Fantasia
1283,288,High Noon
1286,16633,Somewhere in Time
1291,89,Indiana Jones and the Last Crusade
1293,783,Gandhi
1296,11257,A Room with a View
1304,642,Butch Cassidy and the Sundance Kid
1307,639,When Harry Met Sally...
1320,8077,Alien³ (a.k.a. Alien 3)
1330,24913,April Fool's Day
1339,6114,Dracula (Bram Stoker's Dracula)
1343,1598,Cape Fear
1346,6217,Cat People
1347,377,A Nightmare on Elm Street
1350,794,The Omen
1351,31640,Blood and Wine (Blood & Wine)
1352,8744,Albino Alligator
1353,25189,The Mirror Has Two Faces
1356,199,Star Trek: First Contact
1357,7863,Shine
1358,12498,Sling Blade
1359,9279,Jingle All the Way
1370,1573,Die Hard 2
1371,152,Star Trek: The Motion Picture
1372,174,Star Trek VI: The Undiscovered Country
1373,172,Star Trek V: The Final Frontier
1374,154,Star Trek II: The Wrath of Khan
1375,157,Star Trek III: The Search for Spock
1376,168,Star Trek IV: The Voyage Home
1377,364,Batman Returns
1378,11967,Young Guns
1380,621,Grease
1387,578,Jaws
1388,579,Jaws 2
1390,17795,My Fellow Americans
1391,75,Mars Attacks!
1393,9390,Jerry Maguire
1399,9819,Marvin's Room
1401,31908,Ghosts of Mississippi
1405,3179,Beavis and Butt-Head Do America
1407,4232,Scream
1408,9361,The Last of the Mohicans
1411,10549,Hamlet
1416,8818,Evita
1427,34314,Turbulence
1438,9619,Dante's Peak
1442,26306,Prefontaine
1449,16448,Waiting for Guffman
1459,66,Absolute Power
1466,9366,Donnie Brasco
1475,28005,Kama Sutra: A Tale of Love
1477,27322,Love Jones
1479,10003,The Saint
1480,9311,Smilla's Sense of Snow
1485,1624,Liar Liar
1487,16052,Selena
1488,4477,The Devil's Own
1489,24662,Cats Don't Dance
1493,76996,Love and Other Catastrophes
1499,9360,Anaconda
1500,9434,Grosse Pointe Blank
1503,13982,8 Heads in a Duffel Bag
1515,10357,Volcano
1517,816,Austin Powers: International Man of Mystery
1518,2163,Breakdown
1527,18,The Fifth Element
1544,330,The Lost World: Jurassic Park
1552,1701,Con Air
1556,1639,Speed 2: Cruise Control
1562,415,Batman & Robin
1569,8874,My Best Friend's Wedding
1571,11956,When the Cat's Away (Chacun cherche son chat)
1573,754,Face/Off
1580,607,Men in Black (a.k.a. MIB)
1583,17834,A Simple Wish
1584,686,Contact
1586,4421,G.I. Jane
1587,9387,Conan the Barbarian
1588,10603,George of the Jungle
1589,2142,Cop Land
1590,8413,Event Horizon
1591,10336,Spawn
1592,20737,Air Bud
1594,14585,In the Company of Men
1597,8834,Conspiracy Theory
1599,8854,Steel
1604,9416,Money Talks
1608,9772,Air Force One
1610,1669,The Hunt for Red October
1611,468,My Own Private Idaho
1614,10806,In & Out
1615,9433,The Edge
1616,6623,The Peacemaker
1617,2118,L.A. Confidential
1619,978,Seven Years in Tibet
1620,9437,Kiss the Girls
1621,29461,Soul Food
1625,2649,The Game
1633,55306,Ulee's Gold
1635,68924,The Ice Storm
1639,2255,Chasing Amy
1641,9427,The Full Monty
1644,3597,I Know What You Did Last Summer
1645,1813,The Devil's Advocate
1653,782,Gattaca
1659,125052,Hurricane Streets
1660,45153,Eve's Bayou
1661,10871,Switchback
1663,10890,Stripes
1667,9770,Mad City
1672,11975,The Rainmaker
1673,4995,Boogie Nights
1674,9281,Witness
1676,563,Starship Troopers
1677,61337,Critical Care
1679,31535,Chairman of the Board
1680,10215,Sliding Doors
1681,9823,Mortal Kombat: Annihilation
1682,37165,The Truman Show
1687,4824,The Jackal
1688,9444,Anastasia
1689,9414,The Man Who Knew Too Little
1690,8078,Alien: Resurrection
1693,11831,Amistad
1694,2895,The Apostle
1701,2639,Deconstructing Harry
1702,9574,Flubber
1704,489,Good Will Hunting
1711,8197,Midnight in the Garden of Good and Evil
1717,4233,Scream 2
1719,10217,The Sweet Hereafter
1721,597,Titanic
1722,714,Tomorrow Never Dies
1726,9922,The Postman
1727,547,The Horse Whisperer
1729,184,Jackie Brown
1730,9746,Kundun
1732,115,The Big Lebowski
1747,586,Wag the Dog
1748,2666,Dark City
1752,11258,Hard Rain
1753,9490,Half Baked
1755,25719,Shooting Fish
1760,6116,Spice World
1762,9457,Deep Rising
1769,11702,The Replacement Killers
1779,10153,Sphere
1784,2898,As Good as It Gets
1794,47452,Love and Death on Long Island
1801,9313,The Man in the Iron Mask
1804,42807,The Newton Boys
1805,617,Wild Things
1810,9440,Primary Colors
1816,32456,Two Girls and a Guy
1821,17127,The Object of My Affection
1825,19848,The Players Club
1826,17644,Barney's Great Adventure
1831,2157,Lost in Space
1833,8838,Mercury Rising
1834,29193,The Spanish Prisoner
1835,795,City of Angels
1840,9469,He Got Game
1845,16148,Zero Effect
1848,9449,The Borrowers
1858,10622,Mr. Nice Guy (Yat goh ho yan)
1860,17139,Character (Karakter)
1866,9448,The Big Hit
1870,78373,"Dancer, Texas Pop. 81"
1875,55561,Clockwatchers
1876,8656,Deep Impact
1881,18937,Quest for Camelot
1883,9452,Bulworth
1884,1878,Fear and Loathing in Las Vegas
1888,9715,Hope Floats
1894,6068,Six Days Seven Nights
1895,15037,Can't Hardly Wait
1900,21334,The Children of Heaven (Bacheha-Ye Aseman)
1907,10674,Mulan
1909,846,The X-Files: Fight the Future
1911,3050,Dr. Dolittle
1912,1389,Out of Sight
1914,20862,Smoke Signals
1916,9464,Buffalo '66 (a.k.a. Buffalo 66)
1917,95,Armageddon
1918,944,Lethal Weapon 4
1920,11551,Small Soldiers
1921,473,Pi
1923,544,There's Something About Mary
1926,65203,The Broadway Melody
1934,34106,You Can't Take It with You
1938,28580,The Lost Weekend
1939,887,The Best Years of Our Lives
1940,33667,Gentleman's Agreement
1944,11426,From Here to Eternity
1945,654,On the Waterfront
1947,1725,West Side Story
1948,5769,Tom Jones
1949,874,A Man for All Seasons
1951,17917,Oliver!
1952,3116,Midnight Cowboy
1953,1051,The French Connection
1954,1366,Rocky
1956,16619,Ordinary People
1957,9443,Chariots of Fire
1959,606,Out of Africa
1960,746,The Last Emperor
1961,380,Rain Man
1962,403,Driving Miss Daisy
1965,13820,Repo Man
1966,15389,Metropolitan
1969,10014,A Nightmare on Elm Street 2: Freddy's Revenge
1970,10072,A Nightmare on Elm Street 3: Dream Warriors
1971,10131,A Nightmare on Elm Street 4: The Dream Master
1972,10160,A Nightmare on Elm Street 5: The Dream Child
1973,11284,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A)"
1975,9725,Friday the 13th Part 2
1976,9728,Friday the 13th Part 3: 3D
1977,9730,Friday the 13th Part IV: The Final Chapter
1978,9731,Friday the 13th Part V: A New Beginning
1979,10225,Friday the 13th Part VI: Jason Lives
1980,10281,Friday the 13th Part VII: The New Blood
1981,10283,Friday the 13th Part VIII: Jason Takes Manhattan
1982,948,Halloween
1984,10676,Halloween III: Season of the Witch
1985,11357,Halloween 4: The Return of Michael Myers
1986,11361,Halloween 5: The Revenge of Michael Myers
1991,10585,Child's Play
1992,11186,Child's Play 2
1994,609,Poltergeist
1996,10306,Poltergeist III
1997,9552,The Exorcist
1998,11586,Exorcist II: The Heretic
2002,943,Lethal Weapon 3
2003,927,Gremlins
2004,928,Gremlins 2: The New Batch
2006,9342,The Mask of Zorro
2010,19,Metropolis
2011,165,Back to the Future Part II
2012,196,Back to the Future Part III
2018,3170,Bambi
2019,346,Seven Samurai (Shichinin no samurai)
2020,859,Dangerous Liaisons
2021,841,Dune
2022,11051,The Last Temptation of Christ
2023,242,The Godfather: Part III
2026,9424,Disturbing Behavior
2028,857,Saving Private Ryan
2034,9570,The Black Hole
2052,10439,Hocus Pocus
2058,9631,The Negotiator
2064,1779,Roger & Me
2067,907,Doctor Zhivago
2082,10414,The Mighty Ducks
2083,10437,The Muppet Christmas Carol
2093,13155,Return to Oz
2100,2619,Splash
2114,227,The Outsiders
2115,87,Indiana Jones and the Temple of Doom
2118,11336,The Dead Zone
2124,2907,The Addams Family
2125,9454,Ever After: A Cinderella Story
2126,8688,Snake Eyes
2147,13853,The Clan of the Cave Bear
2154,33644,How Stella Got Her Groove Back
2155,14662,The Slums of Beverly Hills
2160,805,Rosemary's Baby
2161,34584,The NeverEnding Story
2167,36647,Blade
2169,14557,Dead Man on Campus
2171,41469,Next Stop Wonderland
2174,4011,Beetlejuice
2175,161795,Déjà Vu
2177,5854,Family Plot
2178,573,Frenzy
2179,2370,Topaz
2180,5780,Torn Curtain
2184,11219,The Trouble with Harry
2188,3682,54
2194,117,The Untouchables
2195,14577,Dirty Work
2196,37498,Knock Off
2231,10220,Rounders
2232,431,Cube
2236,22796,Simon Birch
2264,5971,We're No Angels
2268,881,A Few Good Men
2272,53113,One True Thing
2275,24746,Six-String Samurai
2278,8195,Ronin
2279,9877,Urban Legend
2280,26618,Clay Pigeons
2288,1091,The Thing
2291,162,Edward Scissorhands
2294,8916,Antz
2296,9429,A Night at the Roxbury
2297,12159,What Dreams May Come
2301,10156,History of the World: Part I
2302,10377,My Cousin Vinny
2306,9713,Holy Man
2310,9821,The Mighty
2313,1955,The Elephant Man
2314,39437,Beloved
2315,11932,Bride of Chucky (Child's Play 4)
2316,6435,Practical Magic
2318,10683,Happiness
2322,9425,Soldier
2325,8675,Orgazmo
2328,9945,Vampires
2329,73,American History X
2331,46889,Living Out Loud
2333,3033,Gods and Monsters
2334,9882,The Siege
2335,10663,The Waterboy
2336,4518,Elizabeth
2337,1808,Velvet Goldmine
2338,3600,I Still Know What You Did Last Summer
2340,297,Meet Joe Black
2353,9798,Enemy of the State
2354,14444,The Rugrats Movie
2355,9487,A Bug's Life
2356,9466,Celebrity
2357,666,Central Station (Central do Brasil)
2359,10162,Waking Ned Devine (a.k.a. Waking Ned)
2360,309,The Celebration (Festen)
2361,692,Pink Flamingos
2373,9626,Red Sonja
2376,707,A View to a Kill
2377,11954,Lifeforce
2378,9336,Police Academy
2384,9447,Babe: Pig in the City
2385,12257,Home Fries
2387,10029,Very Bad Things
2390,8545,Little Voice
2391,10223,A Simple Plan
2393,200,Star Trek: Insurrection
2394,9837,The Prince of Egypt
2395,11545,Rushmore
2396,1934,Shakespeare in Love
2401,8879,Pale Rider
2402,1369,Rambo: First Blood Part II
2403,1368,First Blood (Rambo: First Blood)
2404,1370,Rambo III
2414,11904,Young Sherlock Holmes
2420,1885,The Karate Kid
2424,9489,You've Got Mail
2427,8741,The Thin Red Line
2428,9276,The Faculty
2429,9822,Mighty Joe Young
2431,10312,Patch Adams
2432,9441,Stepmom
2433,9422,A Civil Action
2436,10368,Tea with Mussolini
2445,15556,At First Sight
2446,28902,In Dreams
2447,14709,Varsity Blues
2450,10658,Howard the Duck
2459,30497,The Texas Chainsaw Massacre
2460,16337,The Texas Chainsaw Massacre 2
2469,10013,Peggy Sue Got Married
2470,9671,Crocodile Dundee
2471,9396,Crocodile Dundee II
2474,11873,The Color of Money
2485,10314,She's All That
2490,2112,Payback
2491,16172,Simply Irresistible
2492,111794,20 Dates
2496,11622,Blast from the Past
2497,10207,Message in a Bottle
2498,9849,My Favorite Martian
2500,18892,Jawbreaker
2502,1542,Office Space
2504,15256,200 Cigarettes
2505,8224,8MM
2513,8913,Pet Sematary
2526,40160,Meteor
2528,10803,Logan's Run
2530,1685,Beneath the Planet of the Apes
2531,1705,Battle for the Planet of the Apes
2532,1688,Conquest of the Planet of the Apes
2533,1687,Escape from the Planet of the Apes
2539,9535,Analyze This
2540,9455,The Corruptor
2541,796,Cruel Intentions
2542,100,"Lock, Stock & Two Smoking Barrels"
2546,30943,The Deep End of the Ocean
2548,7341,The Rage: Carrie 2
2549,10350,Wing Commander
2555,22345,Baby Geniuses
2560,10212,Ravenous
2566,16508,Doug's 1st Movie
2567,11374,EDtv
2570,28029,A Walk on the Moon
2571,603,The Matrix
2572,4951,10 Things I Hate About You
2573,65749,Tango
2574,8970,The Out-of-Towners
2580,9430,Go
2598,12596,Pushing Tin
2599,9451,Election
2600,1946,eXistenZ
2605,1844,Entrapment
2606,6552,Idle Hands
2616,8592,Dick Tracy
2623,53862,Trippin'
2628,1893,Star Wars: Episode I - The Phantom Menace
2639,15660,Mommie Dearest
2640,1924,Superman
2641,8536,Superman II
2642,9531,Superman III
2643,11411,Superman IV: The Quest for Peace
2671,509,Notting Hill
2672,1090,The Thirteenth Floor
2674,15059,The Loss of Sexual Innocence
2676,12117,Instinct
2682,62676,Limbo
2683,817,Austin Powers: The Spy Who Shagged Me
2686,14283,"The Red Violin (Violon rouge, Le)"
2688,2275,The General's Daughter
2690,24137,An Ideal Husband
2692,104,Run Lola Run (Lola rennt)
2693,15800,Trekkies
2694,9032,Big Daddy
2699,6488,Arachnophobia
2700,9473,"South Park: Bigger, Longer and Uncut"
2701,8487,Wild Wild West
2702,10279,Summer of Sam
2706,2105,American Pie
2707,1073,Arlington Road
2709,10208,Muppets From Space
2710,2667,The Blair Witch Project
2712,345,Eyes Wide Shut
2713,9825,Lake Placid
2718,10490,Drop Dead Gorgeous
2719,11618,The Haunting
2720,332,Inspector Gadget
2722,8914,Deep Blue Sea
2723,9824,Mystery Men
2724,4806,Runaway Bride
2725,33430,Twin Falls Idaho
2729,802,Lolita
2730,3175,Barry Lyndon
2735,10136,The Golden Child
2739,873,The Color Purple
2746,10776,Little Shop of Horrors
2750,30890,Radio Days
2759,16406,Dick
2761,10386,The Iron Giant
2762,745,The Sixth Sense
2763,913,The Thomas Crown Affair
2769,19457,The Yards
2770,11353,Bowfinger
2771,17707,Brokedown Palace
2772,9781,Detroit Rock City
2791,813,Airplane!
2795,11153,National Lampoon's Vacation
2797,2280,Big
2801,39780,Oscar and Lucinda (a.k.a. Oscar & Lucinda)
2803,9944,The Pelican Brief
2804,850,A Christmas Story
2805,10154,Mickey Blue Eyes
2807,10366,Universal Soldier: The Return
2812,22314,In Too Deep
2822,9096,Medicine Man
2826,1911,The 13th Warrior
2827,2900,The Astronaut's Wife
2828,17709,Dudley Do-Right
2829,37718,The Muse
2835,2162,Chill Factor
2836,14578,Outside Providence
2840,10307,Stigmata
2841,11601,Stir of Echoes
2858,14,American Beauty
2860,11001,Blue Streak
2861,10390,For Love of the Game
2863,704,A Hard Day's Night
2865,142132,Sugar Town
2881,10398,Double Jeopardy
2882,2290,Jakob the Liar
2883,24071,Mumford
2886,16112,The Adventures of Elmo in Grouchland
2888,14429,Drive Me Crazy
2889,15198,"Mystery, Alaska"
2890,6415,Three Kings
2891,24066,"Happy, Texas"
2906,12618,Random Hearts
2907,13824,Superstar
2908,226,Boys Don't Cry
2912,10388,The Limey
2916,861,Total Recall
2921,11901,High Plains Drifter
2922,4929,Hang 'Em High
2925,8416,"The Conformist (Conformista, Il)"
2929,18254,Reds
2932,16642,Days of Heaven
2942,535,Flashdance
2947,658,Goldfinger
2948,657,From Russia with Love
2949,646,Dr. No
2950,5689,The Blue Lagoon
2951,391,A Fistful of Dollars (Per un pugno di dollari)
2953,772,Home Alone 2: Lost in New York
2959,550,Fight Club
2961,12220,The Story of Us
2965,29064,The Omega Code
2966,404,The Straight Story
2968,36819,Time Bandits
2971,16858,All That Jazz
2974,10496,Bats
2975,16162,The Best Man
2976,8649,Bringing Out the Dead
2977,31306,Crazy in Alabama
2978,10563,Three to Tango
2989,699,For Your Eyes Only
2990,709,Licence to Kill
2991,253,Live and Let Die
2993,660,Thunderball
2995,11377,House on Haunted Hill
2997,492,Being John Malkovich
3000,128,Princess Mononoke (Mononoke-hime)
3005,9481,The Bone Collector
3006,9008,The Insider
3016,16281,Creepshow
3017,16288,Creepshow 2
3029,21610,Nighthawks
3033,957,Spaceballs
3036,62204,"Quest for Fire (Guerre du feu, La)"
3039,1621,Trading Places
3046,29371,The Incredibly True Adventure of Two Girls in Love
3048,47941,Under the Rainbow
3051,21349,Anywhere But Here
3052,1832,Dogma
3053,10047,The Messenger: The Story of Joan of Arc
3055,47692,Felicia's Journey
3062,9289,The Longest Day
3066,11165,Tora! Tora! Tora!
3068,24226,The Verdict
3082,36643,The World Is Not Enough
3087,9647,Scrooged
3094,26371,Maurice
3101,10998,Fatal Attraction
3104,9013,Midnight Run
3108,177,The Fisher King
3113,9946,End of Days
3114,863,Toy Story 2
3115,31582,Flawless
3117,22267,Ride with the Devil
3125,20024,The End of the Affair
3145,32274,Cradle Will Rock
3146,10402,Deuce Bigalow: Male Gigolo
3147,497,The Green Mile
3155,1439,Anna and the King
3156,2277,Bicentennial Man
3157,10137,Stuart Little
3159,49948,Fantasia 2000
3160,334,Magnolia
3163,46435,Topsy-Turvy
3173,9563,Any Given Sunday
3174,1850,Man on the Moon
3175,926,Galaxy Quest
3176,1213,The Talented Mr. Ripley
3177,10471,Next Friday
3178,10400,The Hurricane
3179,10397,Angela's Ashes
3185,10219,Snow Falling on Cedars
3186,3558,"Girl, Interrupted"
3189,17908,My Dog Skip
3190,10384,Supernova
3204,16241,The Boys from Brazil
3208,9644,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1)
3210,13342,Fast Times at Ridgemont High
3225,10472,Down to You
3238,18681,Eye of the Beholder
3240,20468,The Big Tease
3246,1883,Malcolm X
3250,7305,Alive
3253,8872,Wayne's World
3255,11287,A League of Their Own
3256,9869,Patriot Games
3257,619,The Bodyguard
3258,9374,Death Becomes Her
3260,8293,Howards End
3267,9367,"Mariachi, El"
3273,4234,Scream 3
3275,8374,The Boondock Saints
3276,29076,Gun Shy
3285,1907,The Beach
3286,15489,Snow Day
3287,15655,The Tigger Movie
3298,14181,Boiler Room
3299,10385,Hanging Up
3300,2787,Pitch Black
3301,2069,The Whole Nine Yards
3316,2155,Reindeer Games
3317,11004,Wonder Boys
3324,25166,Drowning Mona
3325,1831,The Next Best Thing
3326,10416,What Planet Are You From?
3327,14271,Beyond the Mat
3328,4816,Ghost Dog: The Way of the Samurai
3354,2067,Mission to Mars
3355,622,The Ninth Gate
3363,838,American Graffiti
3386,820,JFK
3390,58048,Shanghai Surprise
3396,11176,The Muppet Movie
3403,24575,Raise the Titanic
3408,462,Erin Brockovich
3409,9532,Final Destination
3421,8469,Animal House
3422,27995,She's Gotta Have It
3423,36739,School Daze
3424,925,Do the Right Thing
3425,41823,Mo' Better Blues
3439,1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
3440,1499,Teenage Mutant Ninja Turtles III
3441,1880,Red Dawn
3444,11690,Bloodsport
3448,801,"Good Morning, Vietnam"
3452,2085,Romeo Must Die
3453,13539,Here on Earth
3454,16222,Whatever It Takes
3462,3082,Modern Times
3467,24748,Hud
3468,990,The Hustler
3471,840,Close Encounters of the Third Kind
3478,16620,"Bamba, La"
3479,526,Ladyhawke
3481,243,High Fidelity
3483,10501,The Road to El Dorado
3484,11478,The Skulls
3489,879,Hook
3503,593,Solaris (Solyaris)
3504,10774,Network
3510,10559,Frequency
3511,20697,Ready to Rumble
